uid,level,vip_type,vip_status,time_after
245854154,6,1,1,88040
11100147,6,1,1,700
3591306,5,2,1,2515
46696467,6,2,1,6335
3671879,6,1,1,35479
12384655,6,1,1,581303
23840893,4,2,1,584645
391889777,5,2,1,582382
87652178,3,1,0,103374
8945001,5,1,1,10869
322343464,5,1,1,608
326752559,6,2,1,9288
15204660,6,2,1,360
94078703,5,2,1,5347
229615896,6,1,1,3624
21696250,5,0,0,786292
13105369,6,2,1,4044
225322942,4,1,0,8504
318570411,5,1,1,2991
152296197,6,2,1,67586
486326378,3,0,0,326
454993493,4,1,0,4104
44057947,5,0,0,585352
599126,6,2,1,582002
480015861,3,1,1,4925
230185040,5,1,1,1330
38470150,5,1,0,582122
12579045,5,2,1,203040
32648486,4,0,0,10997
182493935,6,2,1,953
405560588,4,0,0,555
483825230,4,1,1,589314
405838747,4,1,1,45584
39663249,5,1,0,4944
378588533,4,0,0,2553
19884197,6,2,1,582313
265908761,5,1,1,580439
22264206,5,1,1,462
284947514,4,1,0,59632
318171594,4,1,0,2235
21696250,5,0,0,1767
186344565,5,1,1,1512
128622240,5,1,0,16040
82349619,4,2,1,3146
430133976,2,1,1,101131
396158015,5,1,0,3702
28451780,4,1,0,9112
4212335,5,1,1,598320
12623108,5,2,1,1090516
38967150,5,2,1,1088245
13285117,5,2,1,1060321
473403969,2,0,0,1057383
547272773,1,0,0,1054855
605798162,2,0,0,1051155
285902525,5,1,1,1050048
498802970,3,0,0,1043409
104543975,4,1,0,1043118
387617261,4,1,0,1040894
92141033,4,1,1,1040579
383583529,4,1,0,1040414
18838417,5,1,0,1035535
175926099,4,0,0,1035274
37881775,4,0,0,1034750
455404900,2,0,0,1033950
2737836,5,1,0,1029953
29219344,5,1,1,1024627
325839389,3,0,0,1024496
64564778,5,1,0,1020578
76772862,2,0,0,1010942
480088444,3,0,0,1010314
40960200,3,2,1,1004529
358980227,4,2,1,999341
39318594,5,2,1,979217
180183185,4,1,0,973900
384060444,3,0,0,969946
25221672,5,2,1,969883
387313120,4,1,1,969446
11004014,5,1,1,967537
13266996,5,0,0,967192
168578189,5,1,0,965615
338239814,3,0,0,964991
456199979,2,0,0,962349
328606292,3,0,0,961296
3741716,6,2,1,958797
278467571,4,0,0,954766
36170083,5,2,1,954230
279206808,4,0,0,952214
343533026,4,0,0,951161
328809677,3,0,0,944287
396372656,3,0,0,944227
398566338,4,0,0,944166
424703751,2,0,0,943502
88927783,4,1,0,943278
88658191,5,2,1,942893
290375739,5,2,1,942758
346139436,4,1,0,942418
97534177,4,1,0,942156
59680411,4,0,0,939431
46902635,4,2,1,939130
224360102,2,0,0,937180
23479002,4,1,0,936142
392344556,4,0,0,931913
129808244,4,0,0,931521
382196149,4,1,0,930645
19177742,4,0,0,930121
424590665,3,0,0,929145
201650622,5,1,0,928359
103724268,5,2,1,928198
153058490,4,0,0,928143
343876586,4,1,0,927960
399187521,3,1,0,926773
230935812,4,2,1,925257
386196004,4,1,0,922871
35184741,5,1,1,922027
333599675,4,0,0,922020
553802984,2,0,0,920736
17712353,5,0,0,920381
42286044,5,1,0,916728
407070240,4,1,0,916532
34495881,5,1,1,915650
304621613,4,1,0,913587
7518073,5,0,0,911447
171589995,4,1,0,909862
