uid,level,vip_type,vip_status,time_after
21696250,5,0,0,786292
29332457,5,1,0,580531
29332457,5,1,0,-37935398
29332457,5,1,0,-38972036
29332457,5,1,0,-39911704
29332457,5,1,0,-40075399
29332457,5,1,0,-42141788
29332457,5,1,0,-43699603
29332457,5,1,0,-44236423
29332457,5,1,0,-46054616
29332457,5,1,0,-47803604
29332457,5,1,0,-49021520
29332457,5,1,0,-51673168
29332457,5,1,0,-53911666
94078703,5,2,1,5347
17660688,5,0,0,868647
17660688,5,0,0,63184
22417036,5,1,1,868314
22417036,5,1,1,812534
22417036,5,1,1,-18445979
22417036,5,1,1,-22100376
22417036,5,1,1,-22300063
22417036,5,1,1,-24604176
22417036,5,1,1,-31266349
22417036,5,1,1,-32296377
22417036,5,1,1,-33630293
22417036,5,1,1,-34754036
22417036,5,1,1,-47847426
22417036,5,1,1,-54956321
22417036,5,1,1,-56858512
22417036,5,1,1,-57365676
22417036,5,1,1,-57609790
22417036,5,1,1,-57827579
22417036,5,1,1,-58139484
22417036,5,1,1,-58536018
22417036,5,1,1,-61015098
22417036,5,1,1,-65520329
25255094,5,0,0,803949
25255094,5,0,0,803537
25255094,5,0,0,803317
25255094,5,0,0,782113
25255094,5,0,0,603304
25255094,5,0,0,598376
33613766,5,2,1,614942
33613766,5,2,1,181406
33613766,5,2,1,79840
33613766,5,2,1,292
49628423,5,1,0,5783
49628423,5,1,0,-18471505
49628423,5,1,0,-21077936
49628423,5,1,0,-21173324
49628423,5,1,0,-21173366
49628423,5,1,0,-41162546
49628423,5,1,0,-52604536
183453978,5,0,0,618133
191786028,5,2,1,862535
191786028,5,2,1,862457
191786028,5,2,1,861352
191786028,5,2,1,773590
191786028,5,2,1,773568
191786028,5,2,1,531478
191786028,5,2,1,531081
191786028,5,2,1,517243
191786028,5,2,1,516440
191786028,5,2,1,199770
243696833,3,2,1,846265
243696833,3,2,1,791712
243696833,3,2,1,791560
243696833,3,2,1,791494
243696833,3,2,1,791365
243696833,3,2,1,791340
243696833,3,2,1,791175
243696833,3,2,1,595459
243696833,3,2,1,-14929739
243696833,3,2,1,-14931930
243696833,3,2,1,-15153363
243696833,3,2,1,-15153446
243696833,3,2,1,-15368897
243696833,3,2,1,-15381630
243696833,3,2,1,-15536789
243696833,3,2,1,-15618724
243696833,3,2,1,-15618735
243696833,3,2,1,-15618769
243696833,3,2,1,-15828799
243696833,3,2,1,-16221059
243696833,3,2,1,-16411270
243696833,3,2,1,-16491484
243696833,3,2,1,-16618440
243696833,3,2,1,-16618491
243696833,3,2,1,-16618640
243696833,3,2,1,-16669449
243696833,3,2,1,-16669567
243696833,3,2,1,-17093008
243696833,3,2,1,-17093135
243696833,3,2,1,-17143158
243696833,3,2,1,-17173516
243696833,3,2,1,-17173734
243696833,3,2,1,-17191375
243696833,3,2,1,-17191428
243696833,3,2,1,-17209058
243696833,3,2,1,-17209092
243696833,3,2,1,-17225044
243696833,3,2,1,-17259607
